# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: lonelyfloater
# Property: Lonely Floater - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20160101
# End date: 20250825
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/,3490,3133,1.113948292371529,8.275454835620812,14451,0,0
/products/2-angels-in-the-sky-tee,1483,1483,1,0.9676331759946055,5117,0,0
/products/short-sleeve-unisex-t-shirt-12,1356,1356,1,0.8753687315634219,4279,0,0
/products/dream-big-unisex-t-shirt,1265,1265,1,1.0055335968379446,4369,0,0
/products/fs-embroidered-sweatshirt,1182,1183,0.9991546914623838,0.8850380388841927,4062,0,0
/products/limited-edition-skate-tee-long-sleeve-tee,941,941,1,1.0329436769394262,3249,0,0
/products/fs-embroidered-t-shirt,891,891,1,1.0179573512906845,3085,0,0
/products/travis-kanji-t-shirt,836,836,1,0.7882775119617225,2880,0,0
/products/fly-at-your-own-altitude-premium-heavyweight-tee,822,821,1.0012180267965896,0.8915956151035322,2827,0,0
/products/fly-at-your-own-alt-long-tee,728,728,1,0.907967032967033,2503,0,0
/products/fs-crop-sweatshirt,727,727,1,0.9009628610729024,2501,0,0
/products/vision-quest-unisex-hoodie,724,724,1,1.100828729281768,2484,0,0
/products/lfx-leather-bomber-jacket,710,709,1.001410437235543,0.8251057827926658,2449,0,0
/search,706,155,4.554838709677419,23.87741935483871,1525,0,0
/pages/auxnmic,661,415,1.5927710843373495,10.614457831325302,2052,0,0
/products/lonely-floater-lux-hoodie,548,548,1,0.9215328467153284,1888,0,0
/products/lfxnyc-denim-t-shirt,542,542,1,0.25276752767527677,1858,0,0
/products/shine-bright-tee-unisex-long-sleeve-tee,462,462,1,0.8939393939393939,1586,0,0
/products/king-of-the-autumn-unisex-premium-sweatshirt,389,389,1,1.1568123393316196,1330,0,0
/products/sunkissed-black-woman-framed-poster,276,276,1,0.8913043478260869,958,0,0
/collections/all/products/short-sleeve-unisex-t-shirt-11,226,231,0.9783549783549783,0,1116,230,0
/collections,209,164,1.274390243902439,12.378048780487806,793,159,0
/pages/tree,176,145,1.2137931034482758,11.931034482758621,606,0,0
/pages/contact-us,175,145,1.206896551724138,6.2827586206896555,513,0,0
/pages/about-us,163,155,1.0516129032258064,16.574193548387097,652,156,0
/pages/music-videos-x-visuals,162,147,1.1020408163265305,8.061224489795919,592,0,0
/collections/lunar-return,146,107,1.3644859813084111,34.80373831775701,650,77,0
/collections/shop-all,111,64,1.734375,33.984375,402,49,0
/products/floater-mug,102,100,1.02,1.39,351,0,0
/products/verado-glossy-mug,97,97,1,0.9484536082474226,338,0,0
/pages/talent,88,82,1.0731707317073171,3.8780487804878048,314,0,0
/products/vision-quest-embroidered-patches,87,87,1,1.0919540229885059,304,0,0
/products/world-on-fire-tote-bag,86,86,1,0.19767441860465115,295,0,0
/collections/mens,70,47,1.4893617021276595,24.425531914893618,285,32,0
/pages/auxnmicv1,70,42,1.6666666666666667,27.857142857142858,188,0,0
/collections/lunar-return/products/coast-2-coast-trucker,65,51,1.2745098039215685,20.96078431372549,294,51,0
/collections/sdubd,65,49,1.3265306122448979,12.673469387755102,269,36,0
/collections/trials,59,16,3.6875,53.9375,216,2,0
/pages/travis,58,37,1.5675675675675675,22.08108108108108,166,0,0
/collections/travis-micheal-x-lonely-floater-family-business,55,36,1.5277777777777777,47.138888888888886,221,31,0
/pages/moonlight,50,44,1.1363636363636365,16.863636363636363,191,0,0
/account/unsubscribe,49,47,1.0425531914893618,1.851063829787234,176,0,0
/collections/all,49,48,1.0208333333333333,11.666666666666666,277,48,0
/pages/interviews,49,48,1.0208333333333333,1.3958333333333333,146,0,0
/collections/sweaters-hoodies,48,33,1.4545454545454546,21.606060606060606,218,30,0
/collections/lunar-return/products/the-lfx-coast-2-coast-cuffed-beanie,47,31,1.5161290322580645,18.161290322580644,161,2,0
/pages/privacy-policy,44,44,1,1.8863636363636365,152,0,0
/policies/refund-policy,43,41,1.048780487804878,11.097560975609756,128,0,0
/pages/mission-statement,42,40,1.05,8.1,154,38,0
/products/lost-snapback-hat,36,29,1.2413793103448276,13.379310344827585,150,0,0
/collections/bags/products/gray-duffy,35,25,1.4,15.32,166,22,0
/collections/womens,35,26,1.3461538461538463,25.923076923076923,117,8,0
/account/login,32,33,0.9696969696969697,0.5454545454545454,118,0,0
/products/im-offended-dad-hat,32,25,1.28,14.72,140,0,0
/collections/hats,30,20,1.5,15.45,103,12,0
/lonelyfloater.com,29,30,0.9666666666666667,0,109,0,0
/collections/lunar-return/products/fs23-dad-hat,28,28,1,15.25,98,2,0
/collections/dad-hats,26,24,1.0833333333333333,14.083333333333334,112,14,0
/collections/the-aveek-collection,26,7,3.7142857142857144,69.71428571428571,108,12,0
/pages/events,26,23,1.1304347826086956,15.869565217391305,68,0,0
/collections/accessories,25,21,1.1904761904761905,22.238095238095237,87,9,0
/collections/all/products/fs-embroidered-t-shirt,25,25,1,12.04,149,25,0
/collections/shirts,25,14,1.7857142857142858,18,96,11,0
/collections/all/products/lfxnyc-unisex-fleece-jogger-sweatpants-1,23,23,1,10.608695652173912,138,23,0
/collections/lunar-return/products/lonely-floater-fs-lunar-return-cuffed-beanie,23,14,1.6428571428571428,11.714285714285714,77,1,0
